# EUCKP.TXT
0xA1A1	0x3000	# 　
0xA1A2	0x3001	# 、
0xA1A3	0x3002	# 。
0xA1A4	0xFF0C	# ，
0xA1A5	0xFF0E	# ．
0xA1A6	0x00B7	# ·
0xA1A7	0xFF1A	# ：
0xA1A8	0xFF1B	# ；
0xA1A9	0xFF1F	# ？
0xA1AA	0xFF01	# ！
0xA1AB	0x2025	# ‥
0xA1AC	0x2026	# …
0xA1AD	0xFF5E	# ～
0xA1AE	0x3003	# 〃
0xA1AF	0x2015	# ―
0xA1B0	0x2010	# ‐
0xA1B1	0xFF3F	# ＿
0xA1B2	0xFFE3	# ￣
0xA1B3	0xFF0F	# ／
0xA1B4	0xFF3C	# ＼
0xA1B5	0xFF5C	# ｜
0xA1B6	0x2225	# ∥
0xA1B7	0x2215	# ∕
0xA1B8	0x2216	# ∖
0xA1B9	0x309B	# ゛
0xA1BA	0x309C	# ゜
0xA1BB	0x00B4	# ´
0xA1BC	0xFF40	# ｀
0xA1BD	0x00A8	# ¨
0xA1BE	0xFF3E	# ＾
0xA1BF	0x02C7	# ˇ
0xA1C0	0x02D9	# ˙
0xA1C1	0xFE10	# ︐
0xA1C2	0xFE12	# ︒
0xA1C3	0xFE11	# ︑
0xA1C4	0x22EE	# ⋮
0xA1C5	0x2E2F	# ⸯ
0xA1C6	0x2018	# ‘
0xA1C7	0x2019	# ’
0xA1C8	0x201C	# “
0xA1C9	0x201D	# ”
0xA1CA	0xFF08	# （
0xA1CB	0xFF09	# ）
0xA1CC	0x3014	# 〔
0xA1CD	0x3015	# 〕
0xA1CE	0xFF3B	# ［
0xA1CF	0xFF3D	# ］
0xA1D0	0xFF5B	# ｛
0xA1D1	0xFF5D	# ｝
0xA1D2	0x3008	# 〈
0xA1D3	0x3009	# 〉
0xA1D4	0x300A	# 《
0xA1D5	0x300B	# 》
0xA1D6	0x300C	# 「
0xA1D7	0x300D	# 」
0xA1D8	0x300E	# 『
0xA1D9	0x300F	# 』
0xA1DA	0x3010	# 【
0xA1DB	0x3011	# 】
0xA1DC	0xF105	# 
0xA1DD	0xF106	# 
0xA1DE	0x201A	# ‚
0xA1DF	0x201B	# ‛
0xA1E0	0x201E	# „
0xA1E1	0x201F	# ‟
0xA1E2	0xFE35	# ︵
0xA1E3	0xFE36	# ︶
0xA1E4	0xFE39	# ︹
0xA1E5	0xFE3A	# ︺
0xA1E6	0xFE47	# ﹇
0xA1E7	0xFE48	# ﹈
0xA1E8	0xFE37	# ︷
0xA1E9	0xFE38	# ︸
0xA1EA	0xFE3F	# ︿
0xA1EB	0xFE40	# ﹀
0xA1EC	0xFE3D	# ︽
0xA1ED	0xFE3E	# ︾
0xA1EE	0xFE41	# ﹁
0xA1EF	0xFE42	# ﹂
0xA1F0	0xFE43	# ﹃
0xA1F1	0xFE44	# ﹄
0xA1F2	0xFE3B	# ︻
0xA1F3	0xFE3C	# ︼
0xA2A1	0xFF0B	# ＋
0xA2A2	0xFF0D	# －
0xA2A3	0x00B1	# ±
0xA2A4	0x00D7	# ×
0xA2A5	0x00F7	# ÷
0xA2A6	0xFF1D	# ＝
0xA2A7	0x2260	# ≠
0xA2A8	0xFF1C	# ＜
0xA2A9	0xFF1E	# ＞
0xA2AA	0x2266	# ≦
0xA2AB	0x2267	# ≧
0xA2AC	0x221E	# ∞
0xA2AD	0x2234	# ∴
0xA2AE	0x2642	# ♂
0xA2AF	0x2640	# ♀
0xA2B0	0x2220	# ∠
0xA2B1	0x22A5	# ⊥
0xA2B2	0x2312	# ⌒
0xA2B3	0x2202	# ∂
0xA2B4	0x2207	# ∇
0xA2B5	0x2261	# ≡
0xA2B6	0x2252	# ≒
0xA2B7	0x2248	# ≈
0xA2B8	0x226A	# ≪
0xA2B9	0x226B	# ≫
0xA2BA	0x221A	# √
0xA2BB	0x223D	# ∽
0xA2BC	0x221D	# ∝
0xA2BD	0x2235	# ∵
0xA2BE	0x222B	# ∫
0xA2BF	0x222C	# ∬
0xA2C0	0x222E	# ∮
0xA2C1	0x2208	# ∈
0xA2C2	0x220B	# ∋
0xA2C3	0x2286	# ⊆
0xA2C4	0x2287	# ⊇
0xA2C5	0x2282	# ⊂
0xA2C6	0x2283	# ⊃
0xA2C7	0x2209	# ∉
0xA2C8	0x220C	# ∌
0xA2C9	0x2288	# ⊈
0xA2CA	0x2289	# ⊉
0xA2CB	0x2284	# ⊄
0xA2CC	0x2285	# ⊅
0xA2CD	0x222A	# ∪
0xA2CE	0x2229	# ∩
0xA2CF	0x2227	# ∧
0xA2D0	0x2228	# ∨
0xA2D1	0xFFE2	# ￢
0xA2D2	0x21D2	# ⇒
0xA2D3	0x21D4	# ⇔
0xA2D4	0x2200	# ∀
0xA2D5	0x2203	# ∃
0xA2D6	0x2211	# ∑
0xA2D7	0xFF03	# ＃
0xA2D8	0xFF06	# ＆
0xA2D9	0xFF0A	# ＊
0xA2DA	0xFF20	# ＠
0xA2DB	0x00A7	# §
0xA2DC	0x203B	# ※
0xA2DD	0x2606	# ☆
0xA2DE	0x2605	# ★
0xA2DF	0x25CB	# ○
0xA2E0	0x25CF	# ●
0xA2E1	0x25CE	# ◎
0xA2E2	0x25C7	# ◇
0xA2E3	0x25C6	# ◆
0xA2E4	0x25A1	# □
0xA2E5	0x25A0	# ■
0xA2E6	0x25B3	# △
0xA2E7	0x25B2	# ▲
0xA2E8	0x25BD	# ▽
0xA2E9	0x25BC	# ▼
0xA2EA	0x25B7	# ▷
0xA2EB	0x25C1	# ◁
0xA2EC	0x25B6	# ▶
0xA2ED	0x25C0	# ◀
0xA2EE	0x2218	# ∘
0xA2EF	0x2219	# ∙
0xA2F0	0x2756	# ❖
0xA2F1	0xF10D	# 
0xA2F2	0xF10E	# 
0xA2F3	0xF10F	# 
0xA2F4	0xF110	# 
0xA2F5	0x2690	# ⚐
0xA2F6	0x2691	# ⚑
0xA2F7	0x266F	# ♯
0xA2F8	0x266D	# ♭
0xA2F9	0x266A	# ♪
0xA2FA	0x2020	# †
0xA2FB	0x2021	# ‡
0xA2FC	0x00B6	# ¶
0xA2FD	0x2295	# ⊕
0xA2FE	0x2296	# ⊖
0xA3B0	0xFF10	# ０
0xA3B1	0xFF11	# １
0xA3B2	0xFF12	# ２
0xA3B3	0xFF13	# ３
0xA3B4	0xFF14	# ４
0xA3B5	0xFF15	# ５
0xA3B6	0xFF16	# ６
0xA3B7	0xFF17	# ７
0xA3B8	0xFF18	# ８
0xA3B9	0xFF19	# ９
0xA3C1	0xFF21	# Ａ
0xA3C2	0xFF22	# Ｂ
0xA3C3	0xFF23	# Ｃ
0xA3C4	0xFF24	# Ｄ
0xA3C5	0xFF25	# Ｅ
0xA3C6	0xFF26	# Ｆ
0xA3C7	0xFF27	# Ｇ
0xA3C8	0xFF28	# Ｈ
0xA3C9	0xFF29	# Ｉ
0xA3CA	0xFF2A	# Ｊ
0xA3CB	0xFF2B	# Ｋ
0xA3CC	0xFF2C	# Ｌ
0xA3CD	0xFF2D	# Ｍ
0xA3CE	0xFF2E	# Ｎ
0xA3CF	0xFF2F	# Ｏ
0xA3D0	0xFF30	# Ｐ
0xA3D1	0xFF31	# Ｑ
0xA3D2	0xFF32	# Ｒ
0xA3D3	0xFF33	# Ｓ
0xA3D4	0xFF34	# Ｔ
0xA3D5	0xFF35	# Ｕ
0xA3D6	0xFF36	# Ｖ
0xA3D7	0xFF37	# Ｗ
0xA3D8	0xFF38	# Ｘ
0xA3D9	0xFF39	# Ｙ
0xA3DA	0xFF3A	# Ｚ
0xA3E1	0xFF41	# ａ
0xA3E2	0xFF42	# ｂ
0xA3E3	0xFF43	# ｃ
0xA3E4	0xFF44	# ｄ
0xA3E5	0xFF45	# ｅ
0xA3E6	0xFF46	# ｆ
0xA3E7	0xFF47	# ｇ
0xA3E8	0xFF48	# ｈ
0xA3E9	0xFF49	# ｉ
0xA3EA	0xFF4A	# ｊ
0xA3EB	0xFF4B	# ｋ
0xA3EC	0xFF4C	# ｌ
0xA3ED	0xFF4D	# ｍ
0xA3EE	0xFF4E	# ｎ
0xA3EF	0xFF4F	# ｏ
0xA3F0	0xFF50	# ｐ
0xA3F1	0xFF51	# ｑ
0xA3F2	0xFF52	# ｒ
0xA3F3	0xFF53	# ｓ
0xA3F4	0xFF54	# ｔ
0xA3F5	0xFF55	# ｕ
0xA3F6	0xFF56	# ｖ
0xA3F7	0xFF57	# ｗ
0xA3F8	0xFF58	# ｘ
0xA3F9	0xFF59	# ｙ
0xA3FA	0xFF5A	# ｚ
0xA4A1	0x3131	# ㄱ
0xA4A2	0x3134	# ㄴ
0xA4A3	0x3137	# ㄷ
0xA4A4	0x3139	# ㄹ
0xA4A5	0x3141	# ㅁ
0xA4A6	0x3142	# ㅂ
0xA4A7	0x3145	# ㅅ
0xA4A8	0x3147	# ㅇ
0xA4A9	0x3148	# ㅈ
0xA4AA	0x314A	# ㅊ
0xA4AB	0x314B	# ㅋ
0xA4AC	0x314C	# ㅌ
0xA4AD	0x314D	# ㅍ
0xA4AE	0x314E	# ㅎ
0xA4AF	0x3132	# ㄲ
0xA4B0	0x3138	# ㄸ
0xA4B1	0x3143	# ㅃ
0xA4B2	0x3146	# ㅆ
0xA4B3	0x3149	# ㅉ
0xA4B4	0x314F	# ㅏ
0xA4B5	0x3151	# ㅑ
0xA4B6	0x3153	# ㅓ
0xA4B7	0x3155	# ㅕ
0xA4B8	0x3157	# ㅗ
0xA4B9	0x315B	# ㅛ
0xA4BA	0x315C	# ㅜ
0xA4BB	0x3160	# ㅠ
0xA4BC	0x3161	# ㅡ
0xA4BD	0x3163	# ㅣ
0xA4BE	0x3150	# ㅐ
0xA4BF	0x3152	# ㅒ
0xA4C0	0x3154	# ㅔ
0xA4C1	0x3156	# ㅖ
0xA4C2	0x315A	# ㅚ
0xA4C3	0x315F	# ㅟ
0xA4C4	0x3162	# ㅢ
0xA4C5	0x3158	# ㅘ
0xA4C6	0x315D	# ㅝ
0xA4C7	0x3159	# ㅙ
0xA4C8	0x315E	# ㅞ
0xA4C9	0x3133	# ㄳ
0xA4CA	0x3135	# ㄵ
0xA4CB	0x3136	# ㄶ
0xA4CC	0x313A	# ㄺ
0xA4CD	0x313B	# ㄻ
0xA4CE	0x313C	# ㄼ
0xA4CF	0x313D	# ㄽ
0xA4D0	0x313E	# ㄾ
0xA4D1	0x313F	# ㄿ
0xA4D2	0x3140	# ㅀ
0xA4D3	0x3144	# ㅄ
0xA4D4	0x317F	# ㅿ
0xA4D5	0x3181	# ㆁ
0xA4D6	0x3186	# ㆆ
0xA4D7	0x318D	# ㆍ
0xA4D8	0x113C	# ᄼ
0xA4D9	0x113D	# ᄽ
0xA4DA	0x113E	# ᄾ
0xA4DB	0x113F	# ᄿ
0xA4DC	0x114E	# ᅎ
0xA4DD	0x114F	# ᅏ
0xA4DE	0x1150	# ᅐ
0xA4DF	0x1151	# ᅑ
0xA4E0	0x1154	# ᅔ
0xA4E1	0x1155	# ᅕ
0xA4E8	0xF113	# 
0xA4E9	0xF114	# 
0xA4EA	0xF115	# 
0xA4EB	0xF116	# 
0xA4EC	0xF117	# 
0xA4ED	0xF118	# 
0xA4EE	0xF120	# 
0xA4EF	0xF121	# 
0xA4F0	0xF122	# 
0xA5A1	0x0410	# А
0xA5A2	0x0411	# Б
0xA5A3	0x0412	# В
0xA5A4	0x0413	# Г
0xA5A5	0x0414	# Д
0xA5A6	0x0415	# Е
0xA5A7	0x0401	# Ё
0xA5A8	0x0416	# Ж
0xA5A9	0x0417	# З
0xA5AA	0x0418	# И
0xA5AB	0x0419	# Й
0xA5AC	0x041A	# К
0xA5AD	0x041B	# Л
0xA5AE	0x041C	# М
0xA5AF	0x041D	# Н
0xA5B0	0x041E	# О
0xA5B1	0x041F	# П
0xA5B2	0x0420	# Р
0xA5B3	0x0421	# С
0xA5B4	0x0422	# Т
0xA5B5	0x0423	# У
0xA5B6	0x0424	# Ф
0xA5B7	0x0425	# Х
0xA5B8	0x0426	# Ц
0xA5B9	0x0427	# Ч
0xA5BA	0x0428	# Ш
0xA5BB	0x0429	# Щ
0xA5BC	0x042A	# Ъ
0xA5BD	0x042B	# Ы
0xA5BE	0x042C	# Ь
0xA5BF	0x042D	# Э
0xA5C0	0x042E	# Ю
0xA5C1	0x042F	# Я
0xA5D1	0x0430	# а
0xA5D2	0x0431	# б
0xA5D3	0x0432	# в
0xA5D4	0x0433	# г
0xA5D5	0x0434	# д
0xA5D6	0x0435	# е
0xA5D7	0x0451	# ё
0xA5D8	0x0436	# ж
0xA5D9	0x0437	# з
0xA5DA	0x0438	# и
0xA5DB	0x0439	# й
0xA5DC	0x043A	# к
0xA5DD	0x043B	# л
0xA5DE	0x043C	# м
0xA5DF	0x043D	# н
0xA5E0	0x043E	# о
0xA5E1	0x043F	# п
0xA5E2	0x0440	# р
0xA5E3	0x0441	# с
0xA5E4	0x0442	# т
0xA5E5	0x0443	# у
0xA5E6	0x0444	# ф
0xA5E7	0x0445	# х
0xA5E8	0x0446	# ц
0xA5E9	0x0447	# ч
0xA5EA	0x0448	# ш
0xA5EB	0x0449	# щ
0xA5EC	0x044A	# ъ
0xA5ED	0x044B	# ы
0xA5EE	0x044C	# ь
0xA5EF	0x044D	# э
0xA5F0	0x044E	# ю
0xA5F1	0x044F	# я
0xA6A1	0x0391	# Α
0xA6A2	0x0392	# Β
0xA6A3	0x0393	# Γ
0xA6A4	0x0394	# Δ
0xA6A5	0x0395	# Ε
0xA6A6	0x0396	# Ζ
0xA6A7	0x0397	# Η
